nodes, operations
0, 0
1, 0
2, 0
3, 1
4, 2
5, 1
6, 3
7, 3
8, 5
9, 6
10, 5
11, 6
12, 6
13, 7
14, 9
15, 8
16, 8
17, 9
18, 12
19, 9
20, 11
21, 11
22, 11
23, 13
24, 13
25, 12
26, 12
27, 14
28, 15
29, 17
30, 17
31, 16
32, 18
33, 18
34, 20
35, 20
36, 20
37, 20
38, 21
39, 19
40, 23
41, 23
42, 23
43, 23
44, 25
45, 25
46, 26
47, 27
48, 27
49, 28
50, 26
51, 27
52, 30
53, 31
54, 28
55, 30
56, 30
57, 34
58, 35
59, 37
60, 32
61, 35
62, 39
63, 37
64, 38
65, 36
66, 40
67, 40
68, 40
69, 45
70, 40
71, 41
72, 43
73, 40
74, 46
75, 41
76, 43
77, 47
78, 43
79, 44
80, 45
81, 47
82, 44
83, 46
84, 50
85, 47
86, 52
87, 48
88, 50
89, 53
90, 56
91, 50
92, 55
93, 52
94, 55
95, 58
96, 57
97, 56
98, 57
99, 54
