nodes, operations
0, 0
1, 1
2, 2
3, 4
4, 5
5, 6
6, 8
7, 10
8, 11
9, 12
10, 14
11, 16
12, 16
13, 19
14, 20
15, 22
16, 23
17, 24
18, 26
19, 26
20, 29
21, 30
22, 31
23, 32
24, 34
25, 35
26, 37
27, 39
28, 41
29, 41
30, 43
31, 45
32, 47
33, 48
34, 48
35, 50
36, 51
37, 53
38, 55
39, 55
40, 57
41, 58
42, 60
43, 61
44, 65
45, 64
46, 66
47, 69
48, 70
49, 71
50, 72
51, 72
52, 76
53, 78
54, 78
55, 80
56, 81
57, 84
58, 85
59, 87
60, 86
61, 90
62, 90
63, 91
64, 94
65, 93
66, 96
67, 98
68, 100
69, 101
70, 103
71, 104
72, 105
73, 105
74, 108
75, 109
76, 111
77, 113
78, 113
79, 114
80, 116
81, 121
82, 119
83, 122
84, 125
85, 125
86, 126
87, 128
88, 129
89, 130
90, 136
91, 131
92, 135
93, 136
94, 139
95, 141
96, 140
97, 141
98, 145
99, 142
100, 145
101, 145
102, 152
103, 151
104, 156
105, 153
106, 156
107, 158
108, 161
109, 159
110, 164
111, 164
112, 164
113, 165
114, 167
115, 165
116, 171
117, 173
118, 172
119, 177
120, 179
121, 176
122, 181
123, 182
124, 182
125, 181
126, 188
127, 187
128, 187
129, 190
130, 195
131, 191
132, 195
133, 196
134, 199
135, 198
136, 199
137, 201
138, 206
139, 206
140, 207
141, 209
142, 210
143, 210
144, 212
145, 212
146, 215
147, 219
148, 219
149, 218
150, 219
151, 223
152, 222
153, 226
154, 229
155, 230
156, 229
157, 232
158, 236
159, 235
160, 236
161, 238
162, 238
163, 242
164, 239
165, 247
166, 245
167, 244
168, 250
169, 248
170, 252
171, 253
172, 256
173, 259
174, 256
175, 257
176, 260
177, 264
178, 264
179, 263
180, 266
181, 270
182, 270
183, 270
184, 274
185, 273
186, 274
187, 281
188, 282
189, 278
190, 280
191, 279
192, 287
193, 283
194, 288
195, 291
196, 293
197, 293
198, 294
199, 294
200, 297
201, 298
202, 303
203, 301
204, 300
205, 303
206, 309
207, 312
208, 314
209, 308
210, 314
211, 313
212, 316
213, 314
214, 314
215, 326
216, 322
217, 324
218, 323
219, 324
220, 329
221, 330
222, 334
223, 328
224, 335
225, 337
226, 333
227, 337
228, 341
229, 342
230, 343
231, 345
232, 347
233, 348
234, 349
235, 356
236, 354
237, 354
238, 356
239, 360
240, 358
241, 360
242, 360
243, 365
244, 366
245, 369
246, 368
247, 369
248, 374
249, 374
250, 376
251, 381
252, 377
253, 378
254, 382
255, 382
256, 380
257, 385
258, 387
259, 392
260, 389
261, 394
262, 395
263, 396
264, 395
265, 399
266, 403
267, 400
268, 405
269, 407
270, 408
271, 404
272, 412
273, 413
274, 412
275, 416
276, 413
277, 415
278, 417
279, 423
280, 421
281, 426
282, 427
283, 425
284, 431
285, 429
286, 432
287, 435
288, 435
289, 433
290, 438
291, 439
292, 445
293, 441
294, 441
295, 444
296, 447
297, 451
298, 448
299, 453
300, 452
301, 454
302, 461
303, 462
304, 463
305, 464
306, 461
307, 467
308, 466
309, 465
310, 469
311, 471
312, 477
313, 478
314, 478
315, 485
316, 481
317, 479
318, 481
319, 489
320, 486
321, 485
322, 493
323, 489
324, 496
325, 498
326, 499
327, 495
328, 499
329, 499
330, 499
331, 509
332, 502
333, 511
334, 511
335, 509
336, 510
337, 517
338, 510
339, 517
340, 519
341, 521
342, 524
343, 523
344, 525
345, 523
346, 527
347, 531
348, 529
349, 532
350, 538
351, 540
352, 538
353, 542
354, 540
355, 545
356, 543
357, 545
358, 547
359, 546
360, 552
361, 559
362, 554
363, 555
364, 559
365, 561
366, 564
367, 566
368, 568
369, 567
370, 569
371, 570
372, 573
373, 574
374, 575
375, 575
376, 581
377, 580
378, 588
379, 588
380, 587
381, 588
382, 585
383, 592
384, 587
385, 594
386, 590
387, 592
388, 598
389, 600
390, 605
391, 601
392, 599
393, 607
394, 606
395, 614
396, 611
397, 606
398, 615
399, 617
400, 619
401, 622
402, 624
403, 623
404, 621
405, 628
406, 632
407, 627
408, 639
409, 634
410, 632
411, 638
412, 641
413, 642
414, 646
415, 640
416, 646
417, 645
418, 651
419, 648
420, 650
421, 654
422, 655
423, 661
424, 658
425, 659
426, 662
427, 666
428, 669
429, 670
430, 662
431, 667
432, 671
433, 675
434, 668
435, 676
436, 683
437, 688
438, 683
439, 683
440, 687
441, 689
442, 687
443, 694
444, 694
445, 686
446, 695
447, 696
448, 700
449, 702
450, 704
451, 709
452, 705
453, 707
454, 712
455, 710
456, 713
457, 713
458, 716
459, 718
460, 722
461, 723
462, 717
463, 726
464, 730
465, 733
466, 735
467, 728
468, 732
469, 736
470, 736
471, 735
472, 740
473, 744
474, 746
475, 741
476, 751
477, 749
478, 752
479, 749
480, 758
481, 757
482, 752
483, 758
484, 759
485, 761
486, 766
487, 766
488, 770
489, 769
490, 772
491, 774
492, 773
493, 771
494, 779
495, 780
496, 780
497, 780
498, 785
499, 781
500, 779
501, 787
502, 787
503, 788
504, 797
505, 794
506, 798
507, 799
508, 803
509, 805
510, 806
511, 808
512, 807
513, 811
514, 812
515, 812
516, 813
517, 816
518, 817
519, 821
520, 817
521, 825
522, 825
523, 828
524, 833
525, 827
526, 833
527, 839
528, 841
529, 835
530, 838
531, 840
532, 849
533, 850
534, 846
535, 854
536, 850
537, 852
538, 852
539, 855
540, 863
541, 859
542, 861
543, 865
544, 861
545, 870
546, 865
547, 870
548, 868
549, 866
550, 880
551, 884
552, 875
553, 880
554, 879
555, 882
556, 885
557, 887
558, 884
559, 889
560, 890
561, 894
562, 896
563, 900
564, 896
565, 901
566, 904
567, 897
568, 908
569, 905
570, 906
571, 919
572, 911
573, 915
574, 914
575, 910
576, 917
577, 920
578, 921
579, 923
580, 926
581, 927
582, 926
583, 929
584, 936
585, 940
586, 936
587, 940
588, 933
589, 944
590, 949
591, 940
592, 949
593, 953
594, 949
595, 949
596, 959
597, 954
598, 961
599, 964
600, 966
601, 961
602, 968
603, 970
604, 967
605, 978
606, 975
607, 975
608, 975
609, 977
610, 988
611, 980
612, 985
613, 985
614, 985
615, 985
616, 990
617, 995
618, 993
619, 996
620, 1000
621, 999
622, 997
623, 1000
624, 1005
625, 1007
626, 1007
627, 1008
628, 1012
629, 1008
630, 1018
631, 1013
632, 1020
633, 1019
634, 1022
635, 1022
636, 1023
637, 1030
638, 1026
639, 1034
640, 1031
641, 1034
642, 1039
643, 1043
644, 1037
645, 1045
646, 1039
647, 1042
648, 1055
649, 1052
650, 1054
651, 1052
652, 1053
653, 1056
654, 1060
655, 1055
656, 1064
657, 1066
658, 1065
659, 1071
660, 1071
661, 1070
662, 1071
663, 1071
664, 1076
665, 1078
666, 1079
667, 1080
668, 1082
669, 1087
670, 1087
671, 1092
672, 1084
673, 1088
674, 1093
675, 1091
676, 1102
677, 1103
678, 1097
679, 1102
680, 1107
681, 1107
682, 1105
683, 1108
684, 1113
685, 1112
686, 1114
687, 1119
688, 1123
689, 1128
690, 1121
691, 1123
692, 1124
693, 1127
694, 1131
695, 1131
696, 1133
697, 1133
698, 1134
699, 1139
700, 1136
701, 1139
702, 1144
703, 1154
704, 1151
705, 1151
706, 1149
707, 1154
708, 1151
709, 1161
710, 1158
711, 1163
712, 1164
713, 1166
714, 1168
715, 1171
716, 1169
717, 1167
718, 1173
719, 1175
720, 1175
721, 1178
722, 1181
723, 1183
724, 1178
725, 1182
726, 1188
727, 1186
728, 1190
729, 1191
730, 1197
731, 1196
732, 1197
733, 1198
734, 1204
735, 1205
736, 1203
737, 1208
738, 1206
739, 1214
740, 1209
741, 1208
742, 1214
743, 1217
744, 1217
745, 1216
746, 1226
747, 1225
748, 1229
749, 1225
750, 1229
751, 1232
752, 1236
753, 1241
754, 1243
755, 1239
756, 1240
757, 1247
758, 1242
759, 1248
760, 1246
761, 1246
762, 1250
763, 1254
764, 1253
765, 1257
766, 1258
767, 1259
768, 1265
769, 1269
770, 1262
771, 1270
772, 1267
773, 1277
774, 1276
775, 1279
776, 1284
777, 1283
778, 1284
779, 1284
780, 1284
781, 1285
782, 1286
783, 1292
784, 1297
785, 1299
786, 1292
787, 1299
788, 1299
789, 1303
790, 1306
791, 1305
792, 1301
793, 1312
794, 1316
795, 1318
796, 1316
797, 1314
798, 1322
799, 1319
800, 1318
801, 1323
802, 1323
803, 1328
804, 1330
805, 1330
806, 1328
807, 1335
808, 1336
809, 1335
810, 1346
811, 1343
812, 1346
813, 1347
814, 1344
815, 1353
816, 1352
817, 1352
818, 1351
819, 1354
820, 1366
