nodes, operations
0, 0
1, 1
2, 1
3, 2
4, 2
5, 1
6, 4
7, 3
8, 5
9, 2
10, 6
11, 8
12, 4
13, 6
14, 7
15, 9
16, 10
17, 8
18, 9
19, 10
20, 14
21, 15
22, 14
23, 11
24, 12
25, 15
26, 17
27, 14
28, 16
29, 17
30, 14
31, 11
32, 14
33, 25
34, 14
35, 14
36, 26
37, 21
38, 19
39, 14
40, 23
41, 25
42, 23
43, 20
44, 30
45, 27
46, 28
47, 19
48, 22
49, 19
50, 25
51, 30
52, 21
53, 33
54, 26
55, 30
56, 32
57, 33
58, 33
59, 21
60, 25
61, 31
62, 26
63, 36
64, 35
65, 29
66, 37
67, 31
68, 41
69, 28
70, 44
71, 38
72, 41
73, 52
74, 45
75, 48
76, 32
77, 40
78, 46
79, 48
80, 52
81, 36
82, 55
83, 48
84, 52
85, 41
86, 44
87, 50
88, 50
89, 53
90, 44
91, 45
92, 44
93, 58
94, 53
95, 62
96, 46
97, 68
98, 59
99, 53
100, 54
101, 55
102, 47
103, 59
104, 58
105, 55
106, 54
107, 74
108, 62
109, 53
110, 76
111, 60
112, 69
113, 55
114, 62
115, 69
116, 68
117, 54
118, 74
119, 79
120, 61
121, 67
122, 52
123, 53
124, 72
125, 69
126, 66
127, 76
128, 64
129, 76
130, 88
131, 69
132, 77
133, 71
134, 70
135, 69
136, 90
137, 73
138, 75
139, 71
140, 77
141, 88
142, 65
143, 87
144, 72
145, 95
146, 96
147, 109
148, 74
149, 90
150, 76
151, 80
152, 82
153, 92
154, 100
155, 87
156, 85
157, 91
158, 83
159, 99
160, 77
161, 86
162, 85
163, 89
164, 90
165, 103
166, 92
167, 102
168, 89
169, 100
170, 101
171, 101
172, 100
173, 87
174, 98
175, 105
176, 90
177, 91
178, 93
179, 115
180, 106
181, 93
182, 114
183, 116
184, 108
185, 102
186, 103
187, 90
188, 110
189, 102
190, 106
191, 100
192, 111
193, 97
194, 116
195, 121
196, 122
197, 109
198, 109
199, 118
200, 123
201, 110
202, 127
203, 111
204, 120
205, 112
206, 123
207, 122
208, 117
209, 120
210, 133
211, 111
212, 135
213, 112
214, 130
215, 111
216, 137
217, 122
218, 130
219, 131
220, 122
221, 103
222, 121
223, 115
224, 135
225, 104
226, 135
227, 126
228, 139
229, 133
230, 126
231, 138
232, 131
233, 134
234, 116
235, 138
236, 153
237, 137
238, 141
239, 140
240, 114
241, 138
242, 129
243, 162
244, 136
245, 142
246, 130
247, 143
248, 152
249, 133
250, 146
251, 147
252, 151
253, 162
254, 142
255, 156
256, 144
257, 135
258, 137
259, 144
260, 148
261, 148
262, 144
263, 137
264, 156
265, 150
266, 158
267, 160
268, 161
269, 155
270, 169
271, 160
272, 153
273, 141
274, 162
275, 165
276, 154
277, 168
278, 168
279, 163
280, 149
281, 151
282, 178
283, 157
284, 168
285, 162
286, 170
287, 173
288, 139
289, 149
290, 164
291, 174
292, 162
293, 160
294, 165
295, 170
296, 176
297, 159
298, 198
299, 156
300, 176
301, 188
302, 186
303, 163
304, 181
305, 165
306, 184
307, 185
308, 180
309, 185
310, 186
311, 187
312, 189
313, 173
314, 177
315, 197
316, 175
317, 185
318, 195
319, 190
320, 179
321, 166
322, 197
323, 182
324, 194
325, 174
326, 162
327, 192
328, 193
329, 193
330, 208
331, 221
332, 187
333, 200
334, 190
335, 186
336, 194
337, 208
338, 188
339, 197
340, 204
341, 195
342, 201
343, 234
344, 196
345, 181
346, 193
347, 192
348, 198
349, 195
350, 202
351, 211
352, 203
353, 219
354, 215
355, 185
356, 192
357, 191
358, 214
359, 219
360, 196
361, 188
362, 205
363, 196
364, 202
365, 204
366, 221
367, 218
368, 216
369, 215
370, 207
371, 213
372, 228
373, 237
374, 230
375, 219
376, 238
377, 231
378, 254
379, 228
380, 211
381, 227
382, 236
383, 220
384, 230
385, 214
386, 228
387, 222
388, 205
389, 210
390, 224
391, 223
392, 192
393, 235
394, 230
395, 240
396, 235
397, 243
398, 230
399, 229
400, 255
401, 208
402, 222
403, 240
404, 216
405, 237
406, 245
407, 227
408, 220
409, 241
410, 254
411, 241
412, 224
413, 265
414, 241
415, 257
416, 240
417, 237
418, 238
419, 243
420, 267
421, 217
422, 258
423, 262
424, 246
425, 255
426, 274
427, 247
428, 255
429, 234
430, 237
431, 238
432, 238
433, 260
434, 252
435, 256
436, 250
437, 240
438, 241
439, 260
440, 274
441, 223
442, 264
443, 264
444, 238
445, 260
446, 253
447, 253
448, 252
449, 247
450, 243
451, 259
452, 273
453, 263
454, 264
455, 269
456, 256
457, 269
458, 285
459, 282
460, 273
461, 268
462, 275
463, 275
464, 284
465, 284
466, 288
467, 252
468, 245
469, 285
470, 261
471, 297
472, 285
473, 281
474, 276
475, 270
476, 274
477, 262
478, 295
479, 276
480, 304
481, 298
482, 302
483, 305
484, 295
485, 307
486, 300
487, 282
488, 270
489, 307
490, 274
491, 288
492, 297
493, 285
494, 288
495, 270
496, 231
497, 273
498, 309
499, 299
500, 286
501, 316
502, 284
503, 291
504, 294
505, 268
506, 291
507, 291
508, 288
509, 294
510, 320
511, 325
512, 318
513, 311
514, 275
515, 295
516, 310
517, 324
518, 317
519, 272
520, 317
521, 291
522, 315
523, 327
524, 268
525, 294
526, 321
527, 292
528, 293
529, 307
530, 305
531, 311
532, 303
533, 326
534, 328
535, 282
536, 289
537, 318
538, 330
539, 312
540, 335
541, 294
542, 300
543, 320
544, 303
545, 327
546, 310
547, 300
548, 320
549, 299
550, 316
551, 323
552, 278
553, 323
554, 273
555, 356
556, 325
557, 350
558, 334
559, 319
560, 334
561, 331
562, 312
563, 303
564, 302
565, 317
566, 313
567, 333
568, 320
569, 346
570, 299
571, 345
572, 329
573, 346
574, 340
575, 327
576, 338
577, 298
578, 337
579, 344
580, 369
581, 356
582, 313
583, 344
584, 344
585, 324
586, 358
587, 300
588, 338
589, 325
590, 347
591, 372
592, 353
593, 361
594, 319
595, 350
596, 336
597, 377
598, 359
599, 363
600, 327
601, 314
602, 364
603, 355
604, 319
605, 350
606, 339
607, 351
608, 348
609, 373
610, 391
611, 352
612, 365
613, 351
614, 384
615, 352
616, 337
617, 346
618, 339
619, 330
620, 374
621, 388
622, 354
623, 378
624, 385
625, 373
626, 368
627, 346
628, 347
629, 374
630, 340
631, 392
632, 346
633, 377
634, 385
635, 347
636, 381
637, 336
638, 394
639, 391
640, 377
641, 370
642, 357
643, 386
644, 367
645, 406
646, 401
647, 375
648, 357
649, 366
650, 381
651, 364
652, 392
653, 405
654, 391
655, 402
656, 403
657, 377
658, 377
659, 415
660, 394
661, 407
662, 390
663, 377
664, 401
665, 367
666, 383
667, 400
668, 389
669, 375
670, 400
671, 378
672, 383
673, 394
674, 405
675, 372
676, 372
677, 382
678, 393
679, 388
680, 417
681, 410
682, 411
683, 419
684, 410
685, 430
686, 418
687, 432
688, 417
689, 401
690, 384
691, 419
692, 392
693, 408
694, 416
695, 417
696, 389
697, 383
698, 425
699, 426
700, 438
701, 408
702, 389
703, 400
704, 401
705, 451
706, 443
707, 408
708, 407
709, 405
710, 401
711, 395
712, 403
713, 398
714, 407
715, 396
716, 401
717, 413
718, 404
719, 448
720, 419
721, 413
722, 395
723, 423
724, 412
725, 421
726, 456
727, 446
728, 411
729, 449
730, 412
731, 428
732, 432
733, 430
734, 418
735, 411
736, 419
737, 408
738, 431
739, 450
740, 437
741, 428
742, 423
743, 417
744, 420
745, 414
746, 434
747, 414
748, 418
749, 412
750, 440
751, 420
752, 448
753, 422
754, 441
755, 433
756, 444
757, 418
758, 472
759, 455
760, 459
761, 439
762, 442
763, 453
764, 438
765, 485
766, 476
767, 457
768, 438
769, 434
770, 476
771, 444
772, 470
773, 474
774, 424
775, 442
776, 446
777, 441
778, 424
779, 474
780, 442
781, 474
782, 417
783, 455
784, 456
785, 418
786, 418
787, 453
788, 477
789, 457
790, 488
791, 472
792, 462
793, 466
794, 425
795, 499
796, 488
797, 474
798, 454
799, 493
800, 469
801, 497
802, 489
803, 486
804, 439
805, 453
806, 487
807, 456
808, 463
809, 519
810, 495
811, 487
812, 460
813, 456
814, 452
815, 495
816, 471
817, 497
818, 437
819, 506
820, 446
821, 478
822, 488
823, 467
824, 479
825, 489
826, 472
827, 460
828, 470
829, 468
830, 478
831, 490
832, 496
833, 468
834, 453
835, 486
836, 493
837, 527
838, 456
839, 490
840, 471
841, 474
842, 521
843, 485
844, 493
845, 502
846, 477
847, 526
848, 535
849, 506
850, 508
851, 468
852, 506
853, 486
854, 521
855, 481
856, 470
857, 507
858, 511
859, 507
860, 531
